City,2019_avg_income,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size
Albuquerque,43975,36,273323,285808,559131,37443,58200,2.49
Anaheim,64705,33.6,179603,171135,350738,9796,137133,3.45
Anchorage,63208,32.2,152945,145750,298695,27492,33258,2.77
Arlington,73059,34.4,113981,115183,229164,12719,55205,2.19
Atlanta,55668,33.8,223960,239915,463875,18572,32016,2.15
Aurora,67089,31.7,101964,101751,203715,4988,50980,3.3
Austin,62460,32.7,475718,456122,931840,37414,181686,2.5
Bakersfield,39559,30.6,182154,191473,373627,12284,71575,3.23
Baltimore,62702,34.7,294027,327822,621849,29540,49857,2.51
Baton Rouge,49994,31.2,111492,117104,228596,10633,12268,2.52
Birmingham,53185,35.6,102122,112789,214911,13212,8258,2.21
Boston,80965,31.8,322149,347320,669469,18350,190123,2.38
Buffalo,51296,33.1,124537,133529,258066,11231,24630,2.27
Chandler,48082,35.6,128885,131948,260833,15870,38721,2.78
Charlotte,54086,34.3,396646,430475,827121,36046,128897,2.52
Chesapeake,35536,36.7,114964,120465,235429,29772,13966,2.73
Chicago,64079,34.2,1320015,1400541,2720556,72042,573463,2.53
Chula Vista,60845,34.6,131485,134269,265754,12368,82710,3.32
Cincinnati,56402,32.7,143654,154883,298537,13699,16896,2.08
Cleveland,39505,36,186436,201623,388059,19849,18830,2.24
Colorado Springs,50862,34.8,225544,231018,456562,49291,35320,2.48
Columbus,41806,33.7,98785,101794,200579,21747,10376,2.62
Corpus Christi,46336,35,160488,163594,324082,25078,30834,2.69
Dallas,59409,32.6,639019,661063,1300082,41026,326825,2.59
Washington,73059,33.8,319705,352523,672228,25963,95117,2.24
Denver,67089,34.1,341137,341408,682545,29363,113222,2.33
Detroit,54213,34.8,319265,357859,677124,29511,39861,2.6
Durham,54408,33.2,121153,136445,257598,12528,38642,2.4
El Paso,38681,33.1,332797,348339,681136,47693,159709,3.03
Fort Wayne,47762,34.7,124815,133329,258144,13539,19146,2.45
Fort Worth,59409,32.6,414126,422843,836969,39182,143404,2.88
Fremont,53259,38.3,114383,117808,232191,4629,109427,3.12
Fresno,43019,30,256130,263942,520072,18410,103453,3.12
Garland,25310,34.5,116406,120430,236836,10407,62975,3.12
Glendale,36857,34.4,116795,123319,240114,13241,44133,2.89
Greensboro,44456,35.5,132251,153093,285344,14011,26667,2.36
Henderson,49225,42.5,139412,146246,285658,25045,35666,2.55
Hialeah,17981,43,111530,125552,237082,1844,170148,3.31
Honolulu,36816,41.4,176807,175959,352766,23213,101312,2.69
Houston,58884,32.6,1149686,1148942,2298628,71898,696210,2.66
Indianapolis,57629,34.1,410615,437808,848423,42186,72456,2.53
Irvine,50016,34.6,125411,131516,256927,5532,116366,2.73
Irving,31448,32.3,117189,119428,236617,6207,86756,2.78
Jacksonville,52184,35.7,419203,448828,868031,75432,85650,2.62
Jersey City,77911,34.3,131765,132512,264277,4374,109186,2.57
Kansas City,55691,35.9,228430,246931,475361,24710,37787,2.35
Laredo,33305,28.8,124305,131484,255789,4921,68427,3.66
Las Vegas,49225,37.5,310568,313201,623769,42397,127609,2.79
Lexington,49814,34.4,154032,160456,314488,16661,28613,2.34
Lincoln,50565,32.3,138544,138802,277346,14694,22958,2.4
Long Beach,64705,34.6,238159,236013,474172,17463,127764,2.78
Los Angeles,64705,35,1958998,2012898,3971896,85417,1485425,2.86
Louisville,32999,37.5,298451,316938,615389,39364,37875,2.45
Lubbock,44706,29.2,122320,126731,249051,10588,14226,2.61
Madison,61743,30.7,122596,126360,248956,9707,30090,2.23
Memphis,47904,34.1,312237,343523,655760,31189,43318,2.55
Mesa,48082,36.9,234998,236835,471833,31808,57492,2.68
Nashville,61516,34.1,314231,340365,654596,27942,88193,2.39
Miami,61362,40.4,215840,225149,440989,7233,260789,2.5
Milwaukee,57860,31.6,286315,313839,600154,20615,58321,2.51
Minneapolis,64270,32.4,206547,204388,410935,15217,70769,2.26
New Orleans,54660,35.9,185736,203881,389617,17388,21679,2.41
New York,77911,36,4081698,4468707,8550405,156961,3212500,2.68
Newark,77911,34.6,138040,143873,281913,5829,86253,2.73
Norfolk,49792,30.2,128917,117476,246393,29445,16702,2.51
North Las Vegas,30761,32.2,116350,118443,234793,17256,49815,3.31
Oakland,102406,35.7,203827,215451,419278,12159,113896,2.56
Oklahoma City,51408,34.1,309227,322036,631263,41843,80165,2.58
Omaha,58368,34.2,218789,225098,443887,24503,48263,2.47
Orlando,45718,33.1,130940,139977,270917,12782,50558,2.42
Philadelphia,65733,34.1,741270,826172,1567442,61995,205339,2.61
Phoenix,48082,33.8,786833,776168,1563001,72388,300702,2.89
Pittsburgh,59494,32.9,149690,154695,304385,17728,28187,2.13
Plano,47840,38.1,138565,145054,283619,11719,74030,2.65
Portland,59724,36.7,313516,318671,632187,29940,86041,2.43
Raleigh,58147,32.8,219184,232765,451949,16747,65125,2.42
Reno,62954,35.7,122292,119151,241443,17089,37070,2.46
Riverside,40988,31.4,160613,161810,322423,12373,69584,3.34
Rochester,55770,31.4,100135,109673,209808,7288,17735,2.36
Sacramento,57014,33.7,237724,252991,490715,19698,112579,2.73
San Antonio,48025,33.1,721405,748419,1469824,109089,208046,2.93
San Bernardino,40988,28.5,108671,107466,216137,7741,55135,3.55
San Diego,60845,34.5,693826,701081,1394907,92489,373842,2.73
San Francisco,102406,38.3,439752,425064,864816,26276,297199,2.37
San Jose,112693,36.5,518317,508602,1026919,27269,401493,3.13
Santa Ana,20867,30.8,167503,167920,335423,4735,152999,4.58
Scottsdale,62682,46.9,115712,121132,236844,16798,27207,2.17
Seattle,75970,35.5,345659,338784,684443,29364,119840,2.13
Spokane,46337,36.6,102756,110511,213267,18044,13253,2.34
St. Louis,57615,35,153026,162659,315685,17060,21802,2.16
St. Paul,64270,31.5,149547,151293,300840,10548,56514,2.58
St. Petersburg,49186,41.8,123524,133564,257088,20247,28567,2.42
Stockton,45075,32.5,150976,154674,305650,12822,79583,3.16
Tampa,49186,35.3,175517,193511,369028,20636,58795,2.47
Toledo,48252,36.1,135455,144323,279778,15286,9257,2.29
Tucson,44649,33.6,264893,266781,531674,38182,82220,2.45
Tulsa,56680,35,197437,205654,403091,24672,43751,2.37
Virginia Beach,49792,35.4,222684,230061,452745,54995,38360,2.61
Wichita,52706,34.6,192354,197601,389955,23978,40270,2.56
Winston-Salem,45600,34.7,112520,128712,241232,14521,24302,2.47
