Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename: cbpp18stat01.csv,,,,,,,,,,,,,,,,,,
"Appendix table 1. Standard errors for table 1: Number and percent of U.S. residents age 16 or older with any police contact, by type of contact and demographic characteristics, 2018",,,,,,,,,,,,,,,,,,
"Report title: Contacts Between Police and the Public, 2018 - Statistical Tables  NCJ 255730",,,,,,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, Police-Public Contact Survey, 2018",,,,,,,,,,,,,,,,,,
"Authors: Erika Harrell, Ph.D., and Elizabeth Davis, BJS Statisticians",,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,
Date of version: 12/17/2020,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Appendix table 1. Standard errors for table 1: Number and percent of U.S. residents age 16 or older with any police contact, by type of contact and demographic characteristics, 2018",,,,,,,,,,,,,,,,,,
,,,,Any contact,,,,Police-initiated contact,,,,Resident-initiated contact,,,,Traffic-accident contact,,
Demographic characteristic,,U.S. population age 16 or older,,Number,Percent,,,Number,Percent,,,Number,Percent,,,Number,Percent,
,Total ,"2,582,440",,"1,073,740",0.3,%,,"593,005",0.18,%,,"694,308",0.21,%,,"232,308",0.08,%
Sex,,,,,,,,,,,,,,,,,,
,Male,"1,325,854",,"594,950",0.37,%,,"367,070",0.25,%,,"382,506",0.25,%,,"136,550",0.1,%
,Female,"1,400,949",,"575,107",0.33,,,"299,561",0.19,,,"396,261",0.24,,,"149,542",0.1,
Race/ethnicity,,,,,,,,,,,,,,,,,,
,White,"2,196,168",,"882,891",0.37,%,,"490,125",0.24,%,,"575,845",0.26,%,,"184,786",0.1,%
,Black,"937,498",,"242,562",0.64,,,"155,244",0.42,,,"153,035",0.44,,,"76,132",0.24,
,Hispanic,"931,575",,"276,436",0.47,,,"189,382",0.37,,,"178,345",0.34,,,"79,283",0.17,
,Other,"471,120",,"159,775",0.63,,,"98,356",0.42,,,"110,431",0.47,,,"56,476",0.25,
Age,,,,,,,,,,,,,,,,,,
,16-17,"255,343",,"69,978",0.92,%,,"58,153",0.74,%,,"42,511",0.53,%,,"32,475",0.41,%
,18-24,"638,394",,"305,767",0.75,,,"223,771",0.63,,,"183,184",0.52,,,"105,187",0.31,
,25-44,"1,077,657",,"510,340",0.43,,,"310,744",0.29,,,"328,786",0.3,,,"122,431",0.13,
,45-64,"945,394",,"397,820",0.37,,,"214,735",0.22,,,"296,149",0.29,,,"87,875",0.1,
,65 or older,"690,952",,"219,460",0.34,,,"100,948",0.17,,,"165,663",0.28,,,"62,392",0.12,
Household income,,,,,,,,,,,,,,,,,,
,"$24,999 or less","873,420",,"336,256",0.57,%,,"213,991",0.38,%,,"203,734",0.37,%,,"84,797",0.16,%
,"$25,000-$49,999","990,852",,"369,258",0.48,,,"217,426",0.3,,,"242,909",0.33,,,"92,802",0.14,
,"$50,000-$74,999","839,491",,"276,084",0.44,,,"175,061",0.33,,,"193,497",0.33,,,"79,603",0.15,
,"$75,000 or more","1,430,414",,"497,188",0.36,,,"302,036",0.27,,,"343,858",0.26,,,"137,297",0.13,
"Source: Bureau of Justice Statistics, Police-Public Contact Survey, 2018.",,,,,,,,,,,,,,,,,,
