Bureau of Justice Statistics,,,,,,,,,,
Filename: cbpp18stat03.csv,,,,,,,,,,
"Appendix table 3. Standard errors for table 3: Residents who experienced nonfatal threats or use of force during contacts with police, by demographic characteristics, 2015 and 2018",,,,,,,,,,
"Report title: Contacts Between Police and the Public, 2018 - Statistical Tables  NCJ 255730",,,,,,,,,,
"Data Source: Bureau of Justice Statistics, Police-Public Contact Survey, 2015 and 2018",,,,,,,,,,
"Authors: Erika Harrell, Ph.D., and Elizabeth Davis, BJS Statisticians",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of version: 12/17/2020,,,,,,,,,,
,,,,,,,,,,
"Appendix table 3. Standard errors for table 3: Residents who experienced nonfatal threats or use of force during contacts with police, by demographic characteristics, 2015 and 2018",,,,,,,,,,
,,2015,,,,,2018,,,
,,,Experienced threats or force at any time during the year,,,,,Experienced threats or force at any time during the year,,
Demographic characteristic,,Persons age 16 or older with any police contact,Number,Percent,,,Persons age 16 or older with any police contact,Number,Percent,
,Total,"998,696","74,277",0.13,%,,"1,073,740","81,519",0.13,%
Sex,,,,,,,,,,
,Male,"552,138","63,004",0.22,%,,"594,950","68,306",0.22,%
,Female,"537,568","34,301",0.13,,,"575,107","34,660",0.11,
Race/ethnicity,,,,,,,,,,
,White,"742,753","51,452",0.14,% ,,"882,891","50,964",0.12,% 
,Black,"252,583","33,752",0.54,,,"242,562","34,872",0.54,
,Hispanic,"285,587","36,167",0.51,,,"276,436","34,110",0.41,
,Other,"154,572","23,497",0.69,,,"159,775","18,740",0.43,
Age,,,,,,,,,,
,16-17,"94,639","12,478",1.03,%,,"69,978","13,215",1.15,% 
,18-24,"300,725","45,098",0.55,,,"305,767","47,055",0.53,
,25-44,"431,294","48,030",0.23,,,"510,340","54,278",0.23,
,45-64,"373,907","27,091",0.15,,,"397,820","28,088",0.15,
,65 or older,"195,756","2,796",0.04,,,"219,460","8,182",0.09,
"Source: Bureau of Justice Statistics, Police-Public Contact Survey, 2015 and 2018. ",,,,,,,,,,
