Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename: cbpp18stat04.csv,,,,,,,,,,,,,,,,
"Appendix table 4. Standard errors for table 4: Residents who experienced nonfatal threats or use of force during their most recent police-initiated contact or traffic-accident contact, by resident perception of force as necessary or excessive and demographic characteristics, 2015 and 2018",,,,,,,,,,,,,,,,
"Report title: Contacts Between Police and the Public, 2018 - Statistical Tables  NCJ 255730",,,,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, Police-Public Contact Survey, 2015 and 2018",,,,,,,,,,,,,,,,
"Authors: Erika Harrell, Ph.D., and Elizabeth Davis, BJS Statisticians",,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,
Date of version: 12/17/2020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Appendix table 4. Standard errors for table 4: Residents who experienced nonfatal threats or use of force during their most recent police-initiated contact or traffic-accident contact, by resident perception of force as necessary or excessive and demographic characteristics, 2015 and 2018",,,,,,,,,,,,,,,,
,,2015,,,,,,,,2018,,,,,,
,,Most recent police-initiated or traffic-accident contact,,,,,,,,Most recent police-initiated or traffic-accident contact,,,,,,
,,,,,Of those who experienced force—,,,,,,,,Of those who experienced force—,,,
Demographic characteristic,,Number,Percent experienced force,,Perceived force as necessary,,Perceived force as excessive,,,Number,Percent experienced force,,Perceived force as necessary,,Perceived force as excessive,
,Total,"649,600",0.23,%,3.2,%,3.51,%,,"586,249",0.21,%,2.4,%,2.99,%
Sex,,,,,,,,,,,,,,,,
,Male,"388,272",0.37,%,3.66,%,4.06,%,,"380,828",0.35,%,2.61,%,3.45,%
,Female,"348,227",0.24,,6.55,,6.6,,,"291,163",0.17,,5.33,,5.5,
Race/ethnicity,,,,,,,,,,,,,,,,
,White,"461,083",0.25,%,4.7,%,4.5,%,,"485,669",0.2,%,3.08,%,3.35,%
,Black,"194,060",0.84,,7.5,,7.66,,,"160,283",0.86,,4.91,,5.44,
,Hispanic,"209,932",0.85,,5.48,,8.36,,,"202,945",0.72,,5.84,,8.6,
,Other,"115,175",1.12,,11.47,,12.66,,,"99,888",0.69,,8.87,,8.64,
Age,,,,,,,,,,,,,,,,
,16-17,"85,289",1.24,%,26.39,%,20.06,%,,"60,941",1.43,%,15.45,%,15.61,%
,18-24,"248,610",0.73,,7.02,,8.33,,,"227,605",0.67,,4.16,,7.76,
,25-44,"300,496",0.39,,4.19,,4.52,,,"316,825",0.36,,3.44,,3.46,
,45-64,"228,594",0.31,,5.93,,7.38,,,"196,139",0.27,,4.73,,4.69,
,65 or older,"115,645",0.1,,~,,~,,,"112,615",0.16,,4.65,,14.58,
~Not applicable.,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Police-Public Contact Survey, 2015 and 2018. ",,,,,,,,,,,,,,,,
