Bureau of Justice Statistics,,,,,,,,
Filename: cbpp18stt02.csv,,,,,,,,
"Table 2. Residents with police contact, by reason for contact, 2015 and 2018",,,,,,,,
"Report title: Contacts Between Police and the Public, 2018 - Statistical Tables  NCJ 255730",,,,,,,,
"Data Source: Bureau of Justice Statistics, Police-Public Contact Survey, 2015 and 2018",,,,,,,,
"Authors: Erika Harrell, Ph.D., and Elizabeth Davis, BJS Statisticians",,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of version: 12/17/2020,,,,,,,,
,,,,,,,,
"Table 2. Residents with police contact, by reason for contact, 2015 and 2018",,,,,,,,
,,2015,,,,2018*,,
Reason for contact,,Number,Percent,,,Number,Percent,
,Any,"53,469,300",21.1,% †,,"61,542,300",23.7,% 
Resident-initiated contact,,"27,060,200",10.7,% † ,,"35,468,500",13.7,% 
,Reported possible crime,"16,928,100",6.7, †,,"19,109,200",7.4,
,Reported non-crime emergency/a,"8,841,900",3.5, †,,"9,971,500",3.8,
,Reported non-emergency/b,...,...,,,"10,068,700",3.9,
,Block watch,"2,366,200",0.9, ‡,,"2,160,900",0.8,
,Other,"2,478,400",1, †,,"641,200",0.2,
Traffic-accident contact,,"7,950,500",3.1,% †,,"8,882,000",3.4,% 
Police-initiated contact,,"27,415,900",10.8,%,,"28,880,900",11.1,% 
,Driver during a traffic stop/c,"19,204,500",8.6, † ,,"18,666,000",8.1,
,Passenger during a traffic stop,"5,964,100",2.4,,,"5,702,600",2.2,
,Street stop/d,"2,503,700",1, † ,,"3,528,100",1.4,
,Arrested only/e,"814,800",0.3, † ,,"386,000",0.1,
,Other,"1,946,700",0.8, † ,,"3,638,100",1.4,
Note: Details may not sum to totals because respondents could experience multiple types of contact. See appendix table 2 for standard errors.,,,,,,,,
*Comparison year.,,,,,,,,
†Difference with comparison year is significant at the 95% confidence interval.,,,,,,,,
‡Difference with comparison year is significant at the 90% confidence interval.,,,,,,,,
...Not available.,,,,,,,,
a/Includes medical emergencies and traffic accidents that were witnessed by the respondent in which the respondent was not involved. ,,,,,,,,
"b/Not available as a separate category in 2015. Includes asking for directions, custody enforcement, court orders, or other non-emergency situations.",,,,,,,,
"c/Based on the driving population of 223,315,375 persons in 2015 and 231,290,951 persons in 2018.",,,,,,,,
d/While in a public place or parked vehicle.,,,,,,,,
"e/Includes residents who reported, as the sole type of contact with police, an arrest that occurred outside of the context of a traffic stop, street stop, or traffic accident.",,,,,,,,
"Source: Bureau of Justice Statistics, Police-Public Contact Survey, 2015 and 2018. ",,,,,,,,
