Bureau of Justice Statistics,,,,,,,,,,,
Filename: cbpp18stt03.csv,,,,,,,,,,,
"Table 3. Residents who experienced nonfatal threats or use of force during contacts with police, by demographic characteristics, 2015 and 2018",,,,,,,,,,,
"Report title: Contacts Between Police and the Public, 2018 - Statistical Tables  NCJ 255730",,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, Police-Public Contact Survey, 2015 and 2018",,,,,,,,,,,
"Authors: Erika Harrell, Ph.D., and Elizabeth Davis, BJS Statisticians",,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of version: 12/17/2020,,,,,,,,,,,
,,,,,,,,,,,
"Table 3. Residents who experienced nonfatal threats or use of force during contacts with police, by demographic characteristics, 2015 and 2018",,,,,,,,,,,
,,2015,,,,,,2018,,,
,,,Experienced threats or force at any time during the year/a,,,,,,Experienced threats or force at any time during the year/a,,
Demographic characteristic,,Persons age 16 or older with any police contact,Number,,Percent,,,Persons age 16 or older with any police contact,Number,Percent,
,Total,"53,469,300","985,300",,1.8,%,,"61,542,300","1,254,300",2,%
Sex,,,,,,,,,,,
,Male*,"27,038,300","735,100",,2.7,%,,"30,467,400","917,900",3,%
,Female,"26,431,000","250,200",,0.9, †,,"31,074,900","336,400",1.1, †
Race/ethnicity,,,,,,,,,,,
,White/b*,"37,334,200","485,700",,1.3,% ,,"42,525,700","647,100",1.5,% 
,Black/b,"6,146,400","201,100",,3.3, †,,"6,545,700","250,700",3.8, † 
,Hispanic,"6,680,700","203,100",,3, †,,"8,238,400","280,100",3.4, † 
,"Other/b,c","3,307,900","95,500",,2.9, †,,"4,232,500","76,300",1.8,
Age,,,,,,,,,,,
,16-17,"1,188,300","24,300", !,2,% !,,"1,143,500","39,200",3.4,% 
,18-24*,"8,248,000","261,100",,3.2,,,"8,859,700","280,000",3.2,
,25-44,"19,998,800","473,100",,2.4,,,"23,518,700","625,500",2.7,
,45-64,"17,290,700","222,900",,1.3, †,,"19,160,700","274,400",1.4, † 
,65 or older,"6,743,400","4,000", !,0.1, † !,,"8,859,600","35,200",0.4, † 
Note: Details may not sum to totals due to rounding. See appendix table 3 for standard errors.,,,,,,,,,,,
*Comparison group.,,,,,,,,,,,
†Difference with comparison group is significant at the 95% confidence interval.,,,,,,,,,,,
"! Interpret with caution. Estimate is based on 10 or fewer sample cases, or coefficient of variation is greater than 50%.",,,,,,,,,,,
"a/Includes threatening use of force, pushing, grabbing, handcuffing, hitting, kicking, using chemical or pepper spray, using an electroshock weapon, or pointing a gun. Includes persons reporting threats or use of force during the most recent contact or any earlier contacts with police in the last 12 months. In 2018, but not in 2015, force also included shooting a gun.",,,,,,,,,,,
"b/Excludes persons of Hispanic origin (e.g., “white” refers to non-Hispanic whites and “black” refers to non-Hispanic blacks).",,,,,,,,,,,
"c/Includes Asians, Native Hawaiians, other Pacific Islanders, American Indians, Alaska Natives, and persons of two or more races.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, Police-Public Contact Survey, 2015 and 2018. ",,,,,,,,,,,
